drug_id,smiles
3385,O=c1[nH]cc(F)c(=O)[nH]1
24856436,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
387447,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
3062316,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
5743,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
36462,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
208908,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1
4091,CN(C)C(=N)N=C(N)N
24964624,NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
24748204,O=C(O)C1(Cc2cccc(Nc3nccs3)n2)CCC(Oc2cccc(Cl)c2F)CC1
9826528,O=C(NOCC(O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F
5394,Cn1nnc2c(C(N)=O)ncn2c1=O
5311,O=C(CCCCCCC(=O)Nc1ccccc1)NO
11960529,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5288382,COC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(OC(N)=O)C(OC)C=CC=C(C)C(=O)NC(=CC1=O)C2=O
11977753,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
3363,C1C(C(OC1N2C=C(C(=O)NC2=O)F)CO)O
2123,CN(C)c1nc(N(C)C)nc(N(C)C)n1
2187,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
6450551,CNC(=O)c1ccccc1Sc1ccc2c(C=Cc3ccccn3)n[nH]c2c1
2478,CS(=O)(=O)OCCCCOS(C)(=O)=O
2662,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
354624,Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F
2708,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
11626560,CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl
71384,CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
60198,C=C1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
123631,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
57469,CC(C)Cn1cnc2c(N)nc3ccccc3c21
216326,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
3902,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1
11683,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
4114,COc1c2occc2cc2ccc(=O)oc12
4211,Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1
644241,Cc1cn(-c2cc(NC(=O)c3ccc(C)c(Nc4nccc(-c5cccnc5)n4)c3)cc(C(F)(F)F)c2)cn1
11525740,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O.Cl
9703,CNNCc1ccc(C(=O)NC(C)C)cc1.Cl
25126798,N#CCC(C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1
5426,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
5453,S=P(N1CC1)(N1CC1)N1CC1
444795,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O
42611257,CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F
2141,NCCCNCCSP(=O)(O)O
60699,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1.Cl
176871,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl
2094,C1=C2C(=NC=NC2=O)NN1
3690,O=P1(NCCCl)OCCCN1CCCl
46926350,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCCC3CCO)nc12
